hazard,haz_group,Incidence,DALYS,Mortality
Lathyrus Sativus,Chemicals and toxins,"0,17000,34000","0,300000,600000",0
Bacillus Anthracis,Invasive infectious disease agents - bacteria,"0,20,40","0,1000,2000",0
